"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-05","14.09",",,W","0.00",",,X,2400","0.0",",,X",,,,,"38",",,X","25",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-06","11.63",",,W","0.00",",,X,2400","0.0",",,X",,,,,"39",",,X","20",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-07","16.33",",,W","0.00",",,X,2400","0.0",",,X",,,,,"62",",,X","32",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-08","24.16",",,W","0.00",",,X,2400","0.0",",,X",,,,,"68",",,X","50",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-09","10.96",",,W","0.00","T,,X,2400","0.0","T,,X",,,,,"61",",,X","35",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-10","11.41",",,W","0.00","T,,X,2400","0.1",",,X",,,,,"40",",,X","31",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-11","14.32",",,W","0.00",",,X,2400","0.0",",,X",,,,,"58",",,X","30",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-12","6.93",",,W","0.00",",,X,2400","0.0",",,X",,,,,"71",",,X","42",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-13","9.62",",,W","0.07",",,X,2400","0.0",",,X",,,,,"71",",,X","49",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-14","10.51",",,W","0.00",",,X,2400","0.0",",,X",,,,,"57",",,X","40",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
